| x | y | naive | shared memory |
| 576 | 1 | 7.93044 | 6.06352 |
| 608 | 1 | 7.93705 | 6.01558 |
| 640 | 1 | 7.87129 | 5.82964 |
| 672 | 1 | 7.82526 | 5.64036 |
| 704 | 1 | 8.13569 | 6.82813 |
| 736 | 1 | 8.06202 | 6.56258 |
| 768 | 1 | 8.06697 | 6.55604 |
| 800 | 1 | 7.97708 | 6.36806 |
| 832 | 1 | 8.01357 | 6.30199 |
| 864 | 1 | 7.95702 | 6.28423 |
| 896 | 1 | 7.91748 | 6.05529 |
| 928 | 1 | 7.84536 | 5.99437 |
| 960 | 1 | 7.91301 | 5.98361 |
| 992 | 1 | 7.99599 | 5.97423 |
| 1024 | 1 | 7.84309 | 5.75522 |
